"Reaction Abbreviation","EC Number"
"R_GND","1.1.1.44"
"R_GNK","2.7.1.12"
"R_GPDDA1","3.1.4.46"
"R_GPDDA1pp","3.1.4.46"
"R_GPDDA2","3.1.4.46"
"R_GPDDA2pp","3.1.4.46"
"R_GPDDA3","3.1.4.46"
"R_GPDDA3pp","3.1.4.46"
"R_GPDDA4","3.1.4.46"
"R_GPDDA4pp","3.1.4.46"
"R_GPDDA5","3.1.4.46"
"R_GPDDA5pp","3.1.4.46"
"R_GRTT","2.5.1.10"
"R_GRXR","1.8.4.2"
"R_GSPMDA","3.5.1.78"
"R_GSPMDS","6.3.1.8"
"R_GTHOr","1.8.1.7"
"R_GTHPi","1.11.1.9"
"R_GTHS","6.3.2.3"
"R_GTPCI","3.5.4.16"
"R_GTPDPDP","3.6.1.40"
"R_GTPDPK","2.7.6.5"
"R_GUACYC","4.6.1.2"
"R_GUAD","3.5.4.3"
"R_GUAPRT","2.4.2.8"
"R_GUI1","5.3.1.12"
"R_GUI2","5.3.1.12"
"R_HACD1","1.1.1.35"
"R_HACD1i","1.1.1.35"
"R_HACD2","1.1.1.35"
"R_HACD2i","1.1.1.35"
"R_HACD3","1.1.1.35"
"R_HACD3i","1.1.1.35"
"R_HACD4","1.1.1.35"
"R_HACD4i","1.1.1.35"
"R_HACD5","1.1.1.35"
"R_HACD5i","1.1.1.35"
"R_HACD6","1.1.1.35"
"R_HACD6i","1.1.1.35"
"R_HACD7","1.1.1.35"
"R_HACD7i","1.1.1.35"
"R_HACD8","1.1.1.35"
"R_HACD8i","1.1.1.35"
"R_HCO3E","4.2.1.1"
"R_HCYSMT","2.1.1.10"
"R_HDCOAI","5.3.3.8"
"R_HETZK","2.7.1.50"
"R_HEX1","2.7.1.1"
"R_HEX4","2.7.1.7"
"R_HEX7","2.7.1.1"
"R_HISTD","1.1.1.23"
"R_HISTP","3.1.3.15"
"R_HISTRS","6.1.1.21"
"R_HMBS","4.3.1.8"
"R_HMPK1","2.7.1.49"
"R_HPPK2","2.7.6.3"
"R_HPPPNDO","1.13.11.16"
"R_HPYRI","5.3.1.22"
"R_HSDy","1.1.1.3"
"R_HSK","2.7.1.39"
"R_HSST","2.3.1.46"
"R_HSTPT","2.6.1.9"
"R_HXCT","2.8.3.8"
"R_HXPRT","2.4.2.8"
